Year,State,STATEA,County,COUNTYA,AREANAME,BlackPop,Population
1830,Georgia,130,Columbia,730,Columbia,8139,"3,500 to 10,000"
1830,Georgia,130,Coweta,770,Coweta,1372,"500 to 1,500"
1830,Georgia,130,Crawford,790,Crawford,1722,"1,500 to 3,500"
1830,Georgia,130,Decatur,870,Decatur,1313,"500 to 1,500"
1830,Georgia,130,DeKalb,890,De Kalb,1666,"1,500 to 3,500"
1830,Georgia,130,Dooly,930,Dooly,348,Under 500
1830,Georgia,130,Early,990,Early,546,"500 to 1,500"
1830,Georgia,130,Effingham,1030,Effingham,1217,"500 to 1,500"
1830,Georgia,130,Elbert,1050,Elbert,5853,"3,500 to 10,000"
1830,Georgia,130,Emanuel,1070,Emanuel,494,Under 500
1830,Georgia,130,Fayette,1130,Fayette,1238,"500 to 1,500"
1830,Georgia,130,Franklin,1190,Franklin,2413,"1,500 to 3,500"
1830,Georgia,130,Glynn,1270,Glynn,3970,"3,500 to 10,000"
1830,Georgia,130,Greene,1330,Greene,7523,"3,500 to 10,000"
1830,Georgia,130,Gwinnett,1350,Gwinnett,2340,"1,500 to 3,500"
1830,Georgia,130,Habersham,1370,Habersham,914,"500 to 1,500"
1830,Georgia,130,Hall,1390,Hall,1185,"500 to 1,500"
1830,Georgia,130,Hancock,1410,Hancock,7217,"3,500 to 10,000"
1830,Georgia,130,Harris,1450,Harris,2274,"1,500 to 3,500"
1830,Georgia,130,Henry,1510,Henry,2577,"1,500 to 3,500"
1830,Georgia,130,Houston,1530,Houston,2208,"1,500 to 3,500"
1830,Georgia,130,Irwin,1550,Irwin,114,Under 500
1830,Georgia,130,Jackson,1570,Jackson,2824,"1,500 to 3,500"
1830,Georgia,130,Jasper,1590,Jasper,6364,"3,500 to 10,000"
1830,Georgia,130,Jefferson,1630,Jefferson,3706,"3,500 to 10,000"
1830,Georgia,130,Jones,1690,Jones,6874,"3,500 to 10,000"
1830,Georgia,130,Laurens,1750,Laurens,2389,"1,500 to 3,500"
1830,Georgia,130,Lee,1770,Lee,311,Under 500
1830,Georgia,130,Liberty,1790,Liberty,5645,"3,500 to 10,000"
1830,Georgia,130,Lincoln,1810,Lincoln,3321,"1,500 to 3,500"
1830,Georgia,130,Lowndes,1850,Lowndes,340,Under 500
1830,Georgia,130,McIntosh,1910,Mcintosh,3903,"3,500 to 10,000"
1830,Georgia,130,Madison,1950,Madison,1261,"500 to 1,500"
1830,Georgia,130,Marion,1970,Marion,109,Under 500
1830,Georgia,130,Meriwether,1990,Meriwether,1404,"500 to 1,500"
1830,Georgia,130,Monroe,2070,Monroe,7364,"3,500 to 10,000"
1830,Georgia,130,Montgomery,2090,Montgomery,335,Under 500
1830,Georgia,130,Morgan,2110,Morgan,6835,"3,500 to 10,000"
1830,Georgia,130,Muscogee,2150,Muscogee,1248,"500 to 1,500"
1830,Georgia,130,Newton,2170,Newton,3027,"1,500 to 3,500"
1830,Georgia,130,Oglethorpe,2210,Oglethorpe,7959,"3,500 to 10,000"
1830,Georgia,130,Pike,2310,Pike,1793,"1,500 to 3,500"
1830,Georgia,130,Pulaski,2350,Pulaski,1783,"1,500 to 3,500"
1830,Georgia,130,Putnam,2370,Putnam,7748,"3,500 to 10,000"
1830,Georgia,130,Rabun,2410,Rabun,61,Under 500
1830,Georgia,130,Randolph,2430,Randolph,683,"500 to 1,500"
1830,Georgia,130,Richmond,2450,Richmond,6481,"3,500 to 10,000"
1830,Georgia,130,Screven,2510,Screven,2389,"1,500 to 3,500"
1830,Georgia,130,Talbot,2630,Talbot,2101,"1,500 to 3,500"
1830,Georgia,130,Taliaferro,2650,Taliaferro,2772,"1,500 to 3,500"
1830,Georgia,130,Tattnall,2670,Tattnall,520,"500 to 1,500"
1830,Georgia,130,Telfair,2710,Telfair,567,"500 to 1,500"
1830,Georgia,130,Thomas,2750,Thomas,1172,"500 to 1,500"
1830,Georgia,130,Troup,2850,Troup,2192,"1,500 to 3,500"
1830,Georgia,130,Twiggs,2890,Twiggs,3536,"3,500 to 10,000"
1830,Georgia,130,Upson,2930,Upson,2569,"1,500 to 3,500"
1830,Georgia,130,Walton,2970,Walton,3167,"1,500 to 3,500"
1830,Georgia,130,Ware,2990,Ware,64,Under 500
1830,Georgia,130,Warren,3010,Warren,4794,"3,500 to 10,000"
1830,Georgia,130,Washington,3030,Washington,3925,"3,500 to 10,000"
1830,Georgia,130,Wayne,3050,Wayne,287,Under 500
1830,Georgia,130,Wilkes,3170,Wilkes,8972,"3,500 to 10,000"
1830,Georgia,130,Wilkinson,3190,Wilkinson,1925,"1,500 to 3,500"
1840,Georgia,130,Appling,10,Appling,297,Under 500
1840,Georgia,130,Baker,70,Baker,1779,"1,500 to 3,500"
1840,Georgia,130,Baldwin,90,Baldwin,4175,"3,500 to 10,000"
1840,Georgia,130,Bibb,210,Bibb,4447,"3,500 to 10,000"
1840,Georgia,130,Bryan,290,Bryan,2285,"1,500 to 3,500"
1840,Georgia,130,Bulloch,310,Bulloch,955,"500 to 1,500"
1840,Georgia,130,Burke,330,Burke,8567,"3,500 to 10,000"
1840,Georgia,130,Butts,350,Butts,2023,"1,500 to 3,500"
1840,Georgia,130,Camden,390,Camden,4071,"3,500 to 10,000"
1840,Georgia,130,Campbell,395,Campbell,844,"500 to 1,500"
1840,Georgia,130,Carroll,450,Carroll,527,"500 to 1,500"
1840,Georgia,130,Cass,455,Cass,2009,"1,500 to 3,500"
1840,Georgia,130,Chatham,510,Chatham,12000,"10,000 to 25,000"
1840,Georgia,130,Chattooga,550,Chattooga,814,"500 to 1,500"
1840,Georgia,130,Cherokee,570,Cherokee,494,Under 500
1840,Georgia,130,Clarke,590,Clarke,4919,"3,500 to 10,000"
1840,Georgia,130,Cobb,670,Cobb,909,"500 to 1,500"
1840,Georgia,130,Columbia,730,Columbia,7436,"3,500 to 10,000"
1840,Georgia,130,Coweta,770,Coweta,3101,"1,500 to 3,500"
1840,Georgia,130,Crawford,790,Crawford,3569,"3,500 to 10,000"
1840,Georgia,130,Dade,830,Dade,79,Under 500
1840,Georgia,130,Decatur,870,Decatur,2394,"1,500 to 3,500"
1840,Georgia,130,DeKalb,890,De Kalb,2011,"1,500 to 3,500"
1840,Georgia,130,Dooly,930,Dooly,1193,"500 to 1,500"
1840,Georgia,130,Early,990,Early,2324,"1,500 to 3,500"
1840,Georgia,130,Effingham,1030,Effingham,1442,"500 to 1,500"
1840,Georgia,130,Elbert,1050,Elbert,5048,"3,500 to 10,000"
1840,Georgia,130,Emanuel,1070,Emanuel,629,"500 to 1,500"
1840,Georgia,130,Fayette,1130,Fayette,1364,"500 to 1,500"
1840,Georgia,130,Floyd,1150,Floyd,1276,"500 to 1,500"
1840,Georgia,130,Forsyth,1170,Forsyth,559,"500 to 1,500"
1840,Georgia,130,Franklin,1190,Franklin,2132,"1,500 to 3,500"
1840,Georgia,130,Gilmer,1230,Gilmer,95,Under 500
1840,Georgia,130,Glynn,1270,Glynn,4411,"3,500 to 10,000"
1840,Georgia,130,Greene,1330,Greene,7049,"3,500 to 10,000"
1840,Georgia,130,Gwinnett,1350,Gwinnett,2252,"1,500 to 3,500"
1840,Georgia,130,Habersham,1370,Habersham,954,"500 to 1,500"
1840,Georgia,130,Hall,1390,Hall,1102,"500 to 1,500"
1840,Georgia,130,Hancock,1410,Hancock,5962,"3,500 to 10,000"
1840,Georgia,130,Harris,1450,Harris,6451,"3,500 to 10,000"
1840,Georgia,130,Heard,1490,Heard,1580,"1,500 to 3,500"
1840,Georgia,130,Henry,1510,Henry,3332,"1,500 to 3,500"
1840,Georgia,130,Houston,1530,Houston,4850,"3,500 to 10,000"
1840,Georgia,130,Irwin,1550,Irwin,266,Under 500
1840,Georgia,130,Jackson,1570,Jackson,2528,"1,500 to 3,500"
1840,Georgia,130,Jasper,1590,Jasper,6190,"3,500 to 10,000"
1840,Georgia,130,Jefferson,1630,Jefferson,4377,"3,500 to 10,000"
1840,Georgia,130,Jones,1690,Jones,5648,"3,500 to 10,000"
1840,Georgia,130,Laurens,1750,Laurens,2507,"1,500 to 3,500"
1840,Georgia,130,Lee,1770,Lee,2051,"1,500 to 3,500"
1840,Georgia,130,Liberty,1790,Liberty,5596,"3,500 to 10,000"
1840,Georgia,130,Lincoln,1810,Lincoln,3368,"1,500 to 3,500"
1840,Georgia,130,Lowndes,1850,Lowndes,1180,"500 to 1,500"
1840,Georgia,130,Lumpkin,1870,Lumpkin,528,"500 to 1,500"
1840,Georgia,130,McIntosh,1910,Mcintosh,4012,"3,500 to 10,000"
1840,Georgia,130,Macon,1930,Macon,1492,"500 to 1,500"
1840,Georgia,130,Madison,1950,Madison,1385,"500 to 1,500"
1840,Georgia,130,Marion,1970,Marion,1071,"500 to 1,500"
1840,Georgia,130,Meriwether,1990,Meriwether,5407,"3,500 to 10,000"
1840,Georgia,130,Monroe,2070,Monroe,8471,"3,500 to 10,000"
1840,Georgia,130,Montgomery,2090,Montgomery,337,Under 500
1840,Georgia,130,Morgan,2110,Morgan,5660,"3,500 to 10,000"
1840,Georgia,130,Murray,2130,Murray,799,"500 to 1,500"
1840,Georgia,130,Muscogee,2150,Muscogee,4760,"3,500 to 10,000"
1840,Georgia,130,Newton,2170,Newton,3738,"3,500 to 10,000"
1840,Georgia,130,Oglethorpe,2210,Oglethorpe,6362,"3,500 to 10,000"
1840,Georgia,130,Paulding,2230,Paulding,454,Under 500
1840,Georgia,130,Pike,2310,Pike,2581,"1,500 to 3,500"
1840,Georgia,130,Pulaski,2350,Pulaski,2417,"1,500 to 3,500"
1840,Georgia,130,Putnam,2370,Putnam,6519,"3,500 to 10,000"
1840,Georgia,130,Rabun,2410,Rabun,84,Under 500
1840,Georgia,130,Randolph,2430,Randolph,2690,"1,500 to 3,500"
1840,Georgia,130,Richmond,2450,Richmond,6282,"3,500 to 10,000"
1840,Georgia,130,Screven,2510,Screven,2632,"1,500 to 3,500"
1840,Georgia,130,Stewart,2590,Stewart,4759,"3,500 to 10,000"
1840,Georgia,130,Sumter,2610,Sumter,1644,"1,500 to 3,500"
1840,Georgia,130,Talbot,2630,Talbot,6766,"3,500 to 10,000"
1840,Georgia,130,Taliaferro,2650,Taliaferro,2895,"1,500 to 3,500"
1840,Georgia,130,Tattnall,2670,Tattnall,846,"500 to 1,500"
1840,Georgia,130,Telfair,2710,Telfair,762,"500 to 1,500"
1840,Georgia,130,Thomas,2750,Thomas,2956,"1,500 to 3,500"
1840,Georgia,130,Troup,2850,Troup,7051,"3,500 to 10,000"
1840,Georgia,130,Twiggs,2890,Twiggs,4208,"3,500 to 10,000"
1840,Georgia,130,Union,2910,Union,87,Under 500
1840,Georgia,130,Upson,2930,Upson,3872,"3,500 to 10,000"
1840,Georgia,130,Walker,2950,Walker,989,"500 to 1,500"
1840,Georgia,130,Walton,2970,Walton,3626,"3,500 to 10,000"
1840,Georgia,130,Ware,2990,Ware,134,Under 500
1840,Georgia,130,Warren,3010,Warren,4613,"3,500 to 10,000"
1840,Georgia,130,Washington,3030,Washington,4603,"3,500 to 10,000"
1840,Georgia,130,Wayne,3050,Wayne,381,Under 500
1840,Georgia,130,Wilkes,3170,Wilkes,6518,"3,500 to 10,000"
1840,Georgia,130,Wilkinson,3190,Wilkinson,1885,"1,500 to 3,500"
1850,Georgia,130,Appling,10,Appling,429,Under 500
1850,Georgia,130,Baker,70,Baker,3769,"3,500 to 10,000"
1850,Georgia,130,Baldwin,90,Baldwin,4629,"3,500 to 10,000"
1850,Georgia,130,Bibb,210,Bibb,5690,"3,500 to 10,000"
1850,Georgia,130,Bryan,290,Bryan,2260,"1,500 to 3,500"
1850,Georgia,130,Bulloch,310,Bulloch,1460,"500 to 1,500"
1850,Georgia,130,Burke,330,Burke,10982,"10,000 to 25,000"
1850,Georgia,130,Butts,350,Butts,2808,"1,500 to 3,500"
1850,Georgia,130,Camden,390,Camden,4250,"3,500 to 10,000"
1850,Georgia,130,Campbell,395,Campbell,1514,"1,500 to 3,500"
1850,Georgia,130,Carroll,450,Carroll,1105,"500 to 1,500"
1850,Georgia,130,Cass,455,Cass,3029,"1,500 to 3,500"
1850,Georgia,130,Chatham,510,Chatham,14749,"10,000 to 25,000"
1850,Georgia,130,Chattooga,550,Chattooga,1684,"1,500 to 3,500"
1850,Georgia,130,Cherokee,570,Cherokee,1170,"500 to 1,500"
1850,Georgia,130,Clarke,590,Clarke,5606,"3,500 to 10,000"
1850,Georgia,130,Clinch,650,Clinch,131,Under 500
1850,Georgia,130,Cobb,670,Cobb,2275,"1,500 to 3,500"
1850,Georgia,130,Columbia,730,Columbia,8344,"3,500 to 10,000"
1850,Georgia,130,Coweta,770,Coweta,5433,"3,500 to 10,000"
1850,Georgia,130,Crawford,790,Crawford,4642,"3,500 to 10,000"
1850,Georgia,130,Dade,830,Dade,148,Under 500
1850,Georgia,130,Decatur,870,Decatur,3644,"3,500 to 10,000"
1850,Georgia,130,DeKalb,890,De Kalb,2956,"1,500 to 3,500"
1850,Georgia,130,Dooly,930,Dooly,2781,"1,500 to 3,500"
1850,Georgia,130,Early,990,Early,3530,"3,500 to 10,000"
1850,Georgia,130,Effingham,1030,Effingham,1857,"1,500 to 3,500"
1850,Georgia,130,Elbert,1050,Elbert,6283,"3,500 to 10,000"
1850,Georgia,130,Emanuel,1070,Emanuel,986,"500 to 1,500"
1850,Georgia,130,Fayette,1130,Fayette,1968,"1,500 to 3,500"
1850,Georgia,130,Floyd,1150,Floyd,3003,"1,500 to 3,500"
1850,Georgia,130,Forsyth,1170,Forsyth,1038,"500 to 1,500"
1850,Georgia,130,Franklin,1190,Franklin,2437,"1,500 to 3,500"
1850,Georgia,130,Gilmer,1230,Gilmer,204,Under 500
1850,Georgia,130,Glynn,1270,Glynn,4237,"3,500 to 10,000"
1850,Georgia,130,Gordon,1290,Gordon,828,"500 to 1,500"
1850,Georgia,130,Greene,1330,Greene,8324,"3,500 to 10,000"
1850,Georgia,130,Gwinnett,1350,Gwinnett,2305,"1,500 to 3,500"
1850,Georgia,130,Habersham,1370,Habersham,1220,"500 to 1,500"
1850,Georgia,130,Hall,1390,Hall,1343,"500 to 1,500"
1850,Georgia,130,Hancock,1410,Hancock,7368,"3,500 to 10,000"
1850,Georgia,130,Harris,1450,Harris,8012,"3,500 to 10,000"
1850,Georgia,130,Heard,1490,Heard,2403,"1,500 to 3,500"
1850,Georgia,130,Henry,1510,Henry,4984,"3,500 to 10,000"
1850,Georgia,130,Houston,1530,Houston,9940,"3,500 to 10,000"
1850,Georgia,130,Irwin,1550,Irwin,451,Under 500
1850,Georgia,130,Jackson,1570,Jackson,2960,"1,500 to 3,500"
1850,Georgia,130,Jasper,1590,Jasper,7165,"3,500 to 10,000"
1850,Georgia,130,Jefferson,1630,Jefferson,5414,"3,500 to 10,000"
1850,Georgia,130,Jones,1690,Jones,6325,"3,500 to 10,000"
1850,Georgia,130,Laurens,1750,Laurens,2983,"1,500 to 3,500"
1850,Georgia,130,Lee,1770,Lee,3635,"3,500 to 10,000"
1850,Georgia,130,Liberty,1790,Liberty,5924,"3,500 to 10,000"
1850,Georgia,130,Lincoln,1810,Lincoln,3811,"3,500 to 10,000"
1850,Georgia,130,Lowndes,1850,Lowndes,2375,"1,500 to 3,500"
1850,Georgia,130,Lumpkin,1870,Lumpkin,960,"500 to 1,500"
1850,Georgia,130,McIntosh,1910,Mcintosh,4701,"3,500 to 10,000"
1850,Georgia,130,Macon,1930,Macon,2964,"1,500 to 3,500"
1850,Georgia,130,Madison,1950,Madison,1940,"1,500 to 3,500"
1850,Georgia,130,Marion,1970,Marion,3613,"3,500 to 10,000"
1850,Georgia,130,Meriwether,1990,Meriwether,7995,"3,500 to 10,000"
1850,Georgia,130,Monroe,2070,Monroe,10175,"10,000 to 25,000"
1850,Georgia,130,Montgomery,2090,Montgomery,613,"500 to 1,500"
1850,Georgia,130,Morgan,2110,Morgan,7110,"3,500 to 10,000"
1850,Georgia,130,Murray,2130,Murray,1941,"1,500 to 3,500"
1850,Georgia,130,Muscogee,2150,Muscogee,8223,"3,500 to 10,000"
1850,Georgia,130,Newton,2170,Newton,5219,"3,500 to 10,000"
1850,Georgia,130,Oglethorpe,2210,Oglethorpe,7877,"3,500 to 10,000"
1850,Georgia,130,Paulding,2230,Paulding,1479,"500 to 1,500"
1850,Georgia,130,Pike,2310,Pike,5620,"3,500 to 10,000"
1850,Georgia,130,Pulaski,2350,Pulaski,2843,"1,500 to 3,500"
1850,Georgia,130,Putnam,2370,Putnam,7494,"3,500 to 10,000"
1850,Georgia,130,Rabun,2410,Rabun,110,Under 500
1850,Georgia,130,Randolph,2430,Randolph,5011,"3,500 to 10,000"
1850,Georgia,130,Richmond,2450,Richmond,8093,"3,500 to 10,000"
1850,Georgia,130,Screven,2510,Screven,3674,"3,500 to 10,000"
1850,Georgia,130,Stewart,2590,Stewart,7378,"3,500 to 10,000"
1850,Georgia,130,Sumter,2610,Sumter,3853,"3,500 to 10,000"
1850,Georgia,130,Talbot,2630,Talbot,8741,"3,500 to 10,000"
1850,Georgia,130,Taliaferro,2650,Taliaferro,3095,"1,500 to 3,500"
1850,Georgia,130,Tattnall,2670,Tattnall,849,"500 to 1,500"
1850,Georgia,130,Telfair,2710,Telfair,930,"500 to 1,500"
1850,Georgia,130,Thomas,2750,Thomas,5160,"3,500 to 10,000"
1850,Georgia,130,Troup,2850,Troup,9088,"3,500 to 10,000"
1850,Georgia,130,Twiggs,2890,Twiggs,4662,"3,500 to 10,000"
1850,Georgia,130,Union,2910,Union,279,Under 500
1850,Georgia,130,Upson,2930,Upson,4704,"3,500 to 10,000"
1850,Georgia,130,Walker,2950,Walker,1701,"1,500 to 3,500"
1850,Georgia,130,Walton,2970,Walton,3926,"3,500 to 10,000"
1850,Georgia,130,Ware,2990,Ware,291,Under 500
1850,Georgia,130,Warren,3010,Warren,6267,"3,500 to 10,000"
